what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1362185556978
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1362185557010
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1362185558304
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1362185575259
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1362185576132
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1362185580452
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1362185582558
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1362185582589
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1362185584102
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1362185586427
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1362185587831
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1362185587862
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1362185589063
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1362185590764
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1362185592167
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1362185592199
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1362185593259
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1362185594663
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1362185597066
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1362185597097
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1362185598079
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1362185599781
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1362185602245
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1362185602276
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1362185603118
