what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1337267692215
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1337267692215
os,sysinfo,,,"win32",1337267692231
arch,sysinfo,,,"x86",1337267692231
ws,sysinfo,,,"win32",1337267692231
locale,sysinfo,,,"pt_BR",1337267692231
processors,sysinfo,,,"2",1337267692231
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1337267692231
java.runtime.version,sysinfo,,,"1.6.0_13-b03",1337267692231
java.specification.name,sysinfo,,,"Java Platform API Specification",1337267692231
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1337267692231
java.specification.version,sysinfo,,,"1.6",1337267692231
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1337267692231
java.version,sysinfo,,,"1.6.0_13",1337267692231
java.vm.info,sysinfo,,,"mixed mode",1337267692231
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1337267692231
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1337267692231
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1337267692231
java.vm.specification.version,sysinfo,,,"1.0",1337267692231
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1337267692231
java.vm.version,sysinfo,,,"11.3-b02",1337267692231
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1337267692262
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337267692277
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1337267692402
started,bundle,org.jboss.ide.eclipse.as.ui.mbeans,2.3.0.v20110915-1659-H30-M3,"org.jboss.ide.eclipse.as.ui.mbeans",1337267692496
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337267692527
started,bundle,org.eclipse.jst.server.core,1.2.202.v20110419,"org.eclipse.jst.server.core",1337267692606
started,bundle,org.jboss.tools.jst.web.ui,3.3.0.v20110915-1635-H19-M3,"org.jboss.tools.jst.web.ui",1337267692606
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1337267692684
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1337267692965
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1337267693043
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1337267693090
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1337267693184
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1337267693184
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1337267693324
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1337267693356
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1337267693496
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1337267693637
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1337267693856
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1337267693918
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1337267694043
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1337267694262
started,bundle,org.jboss.tools.common.projecttemplates,3.3.0.v20110915-1551-H16-M3,"org.jboss.tools.common.projecttemplates",1337267706731
started,bundle,org.jboss.tools.jst.web,3.3.0.v20110915-1635-H19-M3,"org.jboss.tools.jst.web",1337267706762
started,bundle,org.jboss.tools.jsf.ui,3.3.0.v20110915-1824-H20-M3,"org.jboss.tools.jsf.ui",1337267706793
started,bundle,org.jboss.tools.common.verification.ui,3.3.0.v20110915-1551-H16-M3,"org.jboss.tools.common.verification.ui",1337267706809
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337267707387
started,bundle,org.jboss.tools.common.jdt.debug,3.3.0.v20110915-1551-H16-M3,"org.jboss.tools.common.jdt.debug",1337267708528
started,bundle,org.jboss.tools.common.jdt.debug.ui,3.3.0.v20110915-1551-H16-M3,"org.jboss.tools.common.jdt.debug.ui",1337267708528
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337267710231
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337267723793
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1337267723793
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337267726544
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1337267731090
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337267741403
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337267741559
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337267742778
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1337267744466
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337267745888
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337267745903
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337267745903
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337267747169
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337267748934
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337267750434
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337267754372
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337267755450
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1337267756450
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1337267756466
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1337267756481
